Name,ResourceName,ResourceType,ResourceGroupName,Location
CiscoASA-FW-SSH-SecurityGroup,CiscoASA-FW-SSH-SecurityGroup,Microsoft.Network/networkSecurityGroups,CiscoASARG,eastus2
ciscoasa-IP,ciscoasa-IP,Microsoft.Network/publicIPAddresses,CiscoASARG,eastus2
CiscoASAVNET-GW-IP,CiscoASAVNET-GW-IP,Microsoft.Network/publicIPAddresses,CiscoASARG,eastus2
E1-ASAv-RouteTable,E1-ASAv-RouteTable,Microsoft.Network/routeTables,CiscoASARG,eastus2
E2-ASAv-RouteTable,E2-ASAv-RouteTable,Microsoft.Network/routeTables,CiscoASARG,eastus2
E3-ASAv-RouteTable,E3-ASAv-RouteTable,Microsoft.Network/routeTables,CiscoASARG,eastus2
Outside-ASAv-RouteTable,Outside-ASAv-RouteTable,Microsoft.Network/routeTables,CiscoASARG,eastus2
cisasaVNET,cisasaVNET,Microsoft.Network/virtualNetworks,CiscoASARG,eastus2
CiscoCSR1000v-Nic0,CiscoCSR1000v-Nic0,Microsoft.Network/networkInterfaces,CiscoCSR1000RG,eastus2
CiscoCSR1000v-Nic1,CiscoCSR1000v-Nic1,Microsoft.Network/networkInterfaces,CiscoCSR1000RG,eastus2
CiscoCSR1000v-SSH-SecurityGroup,CiscoCSR1000v-SSH-SecurityGroup,Microsoft.Network/networkSecurityGroups,CiscoCSR1000RG,eastus2
ciscocsr1000ip,ciscocsr1000ip,Microsoft.Network/publicIPAddresses,CiscoCSR1000RG,eastus2
subnet1-CSR-RouteTable,subnet1-CSR-RouteTable,Microsoft.Network/routeTables,CiscoCSR1000RG,eastus2
subnet2-CSR-RouteTable,subnet2-CSR-RouteTable,Microsoft.Network/routeTables,CiscoCSR1000RG,eastus2
CiscoCSR1000VNET,CiscoCSR1000VNET,Microsoft.Network/virtualNetworks,CiscoCSR1000RG,eastus2
cisco-onprem-Nic0,cisco-onprem-Nic0,Microsoft.Network/networkInterfaces,ciscoonprem,eastus2
cisco-onprem-Nic1,cisco-onprem-Nic1,Microsoft.Network/networkInterfaces,ciscoonprem,eastus2
cisco-onprem-Nic2,cisco-onprem-Nic2,Microsoft.Network/networkInterfaces,ciscoonprem,eastus2
cisco-onprem-Nic3,cisco-onprem-Nic3,Microsoft.Network/networkInterfaces,ciscoonprem,eastus2
cisco-onprem-SSH-SecurityGroup,cisco-onprem-SSH-SecurityGroup,Microsoft.Network/networkSecurityGroups,ciscoonprem,eastus2
ciscoasa-onprem,ciscoasa-onprem,Microsoft.Network/publicIPAddresses,ciscoonprem,eastus2
Sub2-ASAv-RouteTable,Sub2-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoonprem,eastus2
Sub3-ASAv-RouteTable,Sub3-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoonprem,eastus2
sub4-ASAv-RouteTable,sub4-ASAv-RouteTable,Microsoft.Network/routeTables,ciscoonprem,eastus2
