Name,ResourceName,ResourceType,ResourceGroupName,Location
ProdVNET-GW-IP,ProdVNET-GW-IP,Microsoft.Network/publicIPAddresses,RTechRG,eastus2
PVET3VM-ip,PVET3VM-ip,Microsoft.Network/publicIPAddresses,RTechRG,eastus2
PVNET1VM-ip,PVNET1VM-ip,Microsoft.Network/publicIPAddresses,RTechRG,eastus2
UDR,UDR,Microsoft.Network/routeTables,RTechRG,eastus2
DevVNET,DevVNET,Microsoft.Network/virtualNetworks,RTechRG,eastus2
On-Premises,On-Premises,Microsoft.Network/virtualNetworks,RTechRG,eastus2
ProdVNET,ProdVNET,Microsoft.Network/virtualNetworks,RTechRG,eastus2
PVNET1,PVNET1,Microsoft.Network/virtualNetworks,RTechRG,eastus2
PVNET3,PVNET3,Microsoft.Network/virtualNetworks,RTechRG,eastus2
rtechrgdiag181,rtechrgdiag181,Microsoft.Storage/storageAccounts,RTechRG,eastus2
rtechrgdisks488,rtechrgdisks488,Microsoft.Storage/storageAccounts,RTechRG,eastus2
rtechstr,rtechstr,Microsoft.Storage/storageAccounts,RTechRG,eastus2
sagedbserver,sagedbserver,Microsoft.Sql/servers,sagebritec,westus
samplelab,samplelab,Microsoft.DevTestLab/labs,samplelabRG883310,westus
samplelab9306,samplelab9306,Microsoft.KeyVault/vaults,samplelabrg883310,westus
Dtlsamplelab,Dtlsamplelab,Microsoft.Network/virtualNetworks,samplelabRG883310,westus
asamplelab9418,asamplelab9418,Microsoft.Storage/storageAccounts,samplelabRG883310,westus
dpsamplelab9307,dpsamplelab9307,Microsoft.Storage/storageAccounts,samplelabRG883310,westus
dsamplelab3803,dsamplelab3803,Microsoft.Storage/storageAccounts,samplelabRG883310,westus
sample231,sample231,Microsoft.Network/networkInterfaces,samplerg123,westeurope
samplevm1a363f1f3-eb17-4398-b049-18d367df1f00,samplevm1a363f1f3-eb17-4398-b049-18d367df1f00,Microsoft.Network/networkInterfaces,samplerg123,westeurope
sample-nsg,sample-nsg,Microsoft.Network/networkSecurityGroups,samplerg123,westeurope
sample-ip,sample-ip,Microsoft.Network/publicIPAddresses,samplerg123,westeurope
samplerg123,samplerg123,Microsoft.Network/publicIPAddresses,samplerg123,westeurope
samplerg123-vnet,samplerg123-vnet,Microsoft.Network/virtualNetworks,samplerg123,westeurope
scriptfile,scriptfile,Microsoft.Storage/storageAccounts,scriptfiles,southcentralus
1me8e5vx3cl3,1me8e5vx3cl3,Microsoft.Sql/servers,Server-Migration-SoutheastAsia,southeastasia
sketchdemo,sketchdemo,Microsoft.Storage/storageAccounts,sketchdemo,southeastasia
sqltesting123,sqltesting123,Microsoft.ClassicCompute/domainNames,sqltesting123,eastus
sscopyvhds,sscopyvhds,Microsoft.Storage/storageAccounts,sscopyvhds,southcentralus
SudhakarP,SudhakarP,Microsoft.DevTestLab/labs,SudhakarPRG832351,eastus
SudhakarP9378,SudhakarP9378,Microsoft.KeyVault/vaults,sudhakarprg832351,eastus
DtlSudhakarP,DtlSudhakarP,Microsoft.Network/virtualNetworks,SudhakarPRG832351,eastus
sudhakarp445,sudhakarp445,Microsoft.Storage/storageAccounts,SudhakarPRG832351,eastus
sudhakarp531,sudhakarp531,Microsoft.Storage/storageAccounts,SudhakarPRG832351,eastus
SudhaPVNET,SudhaPVNET,Microsoft.Network/virtualNetworks,SudhaPRG,eastus
sunvmtest,sunvmtest,Microsoft.ClassicCompute/domainNames,sunvmtest,eastus
iistesting,iistesting,Microsoft.ClassicCompute/virtualMachines,sunvmtest,eastus
testwebsitemanagment,testwebsitemanagment,Microsoft.Automation/automationAccounts,testautomation,southcentralus
testwebsitemanagment/AzureAutomationTutorial,testwebsitemanagment/AzureAutomationTutorial,Microsoft.Automation/automationAccounts/runbooks,testautomation,southcentralus
testwebsitemanagment/AzureAutomationTutorialScript,testwebsitemanagment/AzureAutomationTutorialScript,Microsoft.Automation/automationAccounts/runbooks,testautomation,southcentralus
testwebsitemanagment/AzureClassicAutomationTutorial,testwebsitemanagment/AzureClassicAutomationTutorial,Microsoft.Automation/automationAccounts/runbooks,testautomation,southcentralus
testwebsitemanagment/AzureClassicAutomationTutorialScript,testwebsitemanagment/AzureClassicAutomationTutorialScript,Microsoft.Automation/automationAccounts/runbooks,testautomation,southcentralus
NSG-SUbnet1,NSG-SUbnet1,Microsoft.Network/networkSecurityGroups,testazurerg,ukwest
TestVNet,TestVNet,Microsoft.Network/virtualNetworks,testazurerg,ukwest
teststoreac666,teststoreac666,Microsoft.Storage/storageAccounts,testazurerg,ukwest
testcloudservicene,testcloudservicene,Microsoft.ClassicCompute/domainNames,testcloudservicene,eastus
testvm210218,testvm210218,Microsoft.Network/networkInterfaces,testdelete,eastus
testvm210-nsg,testvm210-nsg,Microsoft.Network/networkSecurityGroups,testdelete,eastus
testvm210-ip,testvm210-ip,Microsoft.Network/publicIPAddresses,testdelete,eastus
testdelete-vnet,testdelete-vnet,Microsoft.Network/virtualNetworks,testdelete,eastus
blobazurene,blobazurene,Microsoft.Storage/storageAccounts,testhotstorage,westcentralus
testin1,testin1,Microsoft.ClassicCompute/domainNames,testin1,eastus
testin,testin,Microsoft.ClassicCompute/virtualMachines,testin1,eastus
testing,testing,Microsoft.ClassicCompute/virtualMachines,testin1,eastus
testingdemo,testingdemo,microsoft.cdn/profiles,testingdemo,southcentralus
frontendvnet-ip,frontendvnet-ip,Microsoft.Network/publicIPAddresses,testingdemo,southcentralus
frontendvnet-gateway,frontendvnet-gateway,Microsoft.Network/virtualNetworkGateways,testingdemo,southcentralus
frontendvnet,frontendvnet,Microsoft.Network/virtualNetworks,testingdemo,southcentralus
testingexten,testingexten,Microsoft.ClassicCompute/domainNames,testingexten,eastus
testingexten,testingexten,Microsoft.ClassicCompute/virtualMachines,testingexten,eastus
testingwebworker,testingwebworker,Microsoft.ClassicCompute/domainNames,testingwebworker,eastus
uniqueresourceiii,uniqueresourceiii,Microsoft.Network/publicIPAddresses,testlaptop,southeastasia
testlaptopMARS,testlaptopMARS,Microsoft.RecoveryServices/vaults,testlaptop,southeastasia
testmigratedc-defaultAS,testmigratedc-defaultAS,Microsoft.Compute/availabilitySets,testmigrateArm,eastus
testmigratedc,testmigratedc,Microsoft.Compute/virtualMachines,testmigrateArm,eastus
testmigratedc,testmigratedc,Microsoft.Network/loadBalancers,testmigrateArm,eastus
testmigratedc,testmigratedc,Microsoft.Network/networkInterfaces,testmigrateArm,eastus
testmigratedc-PIP,testmigratedc-PIP,Microsoft.Network/publicIPAddresses,testmigrateArm,eastus
testmigratenw,testmigratenw,Microsoft.Network/virtualNetworks,testmigrateArm,eastus
testmig2newportalv2,testmig2newportalv2,Microsoft.Storage/storageAccounts,testmigrateArm,eastus
testmigratedc,testmigratedc,Microsoft.ClassicCompute/domainNames,testmigratedc,eastus
testmigratedc,testmigratedc,Microsoft.ClassicCompute/virtualMachines,testmigratedc,eastus
testing653,testing653,Microsoft.Network/networkInterfaces,testresourcegroup,southeastasia
Testing,Testing,Microsoft.Network/networkSecurityGroups,testresourcegroup,southeastasia
Testing,Testing,Microsoft.Network/publicIPAddresses,testresourcegroup,southeastasia
testresourcegroup,testresourcegroup,Microsoft.Network/virtualNetworks,testresourcegroup,southeastasia
teststorageforlt,teststorageforlt,Microsoft.Storage/storageAccounts,testresourcegroup,southeastasia
MyVirtualNetworksudha,MyVirtualNetworksudha,Microsoft.Network/virtualNetworks,TestResourceGroup1234,eastus
NSG-BackEnd,NSG-BackEnd,Microsoft.Network/networkSecurityGroups,TestRG,westus
testvault,testvault,Microsoft.RecoveryServices/vaults,testrg,eastus2
testsqlvm24,testsqlvm24,Microsoft.Compute/virtualMachines,testrg303,northcentralus
testsqlvm24/SqlIaasExtension,testsqlvm24/SqlIaasExtension,Microsoft.Compute/virtualMachines/extensions,testrg303,northcentralus
testsqlvm24767,testsqlvm24767,Microsoft.Network/networkInterfaces,testrg303,northcentralus
testsqlvm24-nsg,testsqlvm24-nsg,Microsoft.Network/networkSecurityGroups,testrg303,northcentralus
testsqlvm24-ip,testsqlvm24-ip,Microsoft.Network/publicIPAddresses,testrg303,northcentralus
testrg303-vnet,testrg303-vnet,Microsoft.Network/virtualNetworks,testrg303,northcentralus
testrg303diag241,testrg303diag241,Microsoft.Storage/storageAccounts,testrg303,northcentralus
testrgatoreac303,testrgatoreac303,Microsoft.Storage/storageAccounts,testrg303,northcentralus
test112345,test112345,Microsoft.Storage/storageAccounts,testrg345,eastus
teststorage190,teststorage190,Microsoft.Storage/storageAccounts,testrg345,eastus
CPUHigh testplan4567,CPUHigh testplan4567,microsoft.insights/alertrules,testrg8976,eastus
ForbiddenRequests visualtestap,ForbiddenRequests visualtestap,microsoft.insights/alertrules,testrg8976,eastus
LongHttpQueue testplan4567,LongHttpQueue testplan4567,microsoft.insights/alertrules,testrg8976,eastus
ServerErrors visualtestap,ServerErrors visualtestap,microsoft.insights/alertrules,testrg8976,eastus
testplan4567-testrg8976,testplan4567-testrg8976,microsoft.insights/autoscalesettings,testrg8976,eastus
visualtestap,visualtestap,microsoft.insights/components,testrg8976,eastus
ADRds,ADRds,Microsoft.Compute/virtualMachines,testrgp,westus
memberRD,memberRD,Microsoft.Compute/virtualMachines,testrgp,westus
adrds605,adrds605,Microsoft.Network/networkInterfaces,testrgp,westus
memberrd540,memberrd540,Microsoft.Network/networkInterfaces,testrgp,westus
ADRds-nsg,ADRds-nsg,Microsoft.Network/networkSecurityGroups,testrgp,westus
memberRD-nsg,memberRD-nsg,Microsoft.Network/networkSecurityGroups,testrgp,westus
ADRds-ip,ADRds-ip,Microsoft.Network/publicIPAddresses,testrgp,westus
memberRD-ip,memberRD-ip,Microsoft.Network/publicIPAddresses,testrgp,westus
testrgp-vnet,testrgp-vnet,Microsoft.Network/virtualNetworks,testrgp,westus
testrgpdiag234,testrgpdiag234,Microsoft.Storage/storageAccounts,testrgp,westus
testrgpdisks781,testrgpdisks781,Microsoft.Storage/storageAccounts,testrgp,westus
testvmsql1860,testvmsql1860,Microsoft.Network/networkInterfaces,testrgsql1,eastus2
testvmsql1958,testvmsql1958,Microsoft.Network/networkInterfaces,testrgsql1,eastus2
testvmsql1-nsg,testvmsql1-nsg,Microsoft.Network/networkSecurityGroups,testrgsql1,eastus2
testvmsql1nsg769,testvmsql1nsg769,Microsoft.Network/networkSecurityGroups,testrgsql1,eastus2
testvmsql1-ip,testvmsql1-ip,Microsoft.Network/publicIPAddresses,testrgsql1,eastus2
testvmsql1ip337,testvmsql1ip337,Microsoft.Network/publicIPAddresses,testrgsql1,eastus2
testrgsql1,testrgsql1,Microsoft.Network/virtualNetworks,testrgsql1,eastus2
teststoragesql1,teststoragesql1,Microsoft.Storage/storageAccounts,testrgsql1,eastus2
saitest,saitest,Microsoft.Storage/storageAccounts,TestSai,southeastasia
testsqlvm123210,testsqlvm123210,Microsoft.ClassicCompute/domainNames,testsqlvm123210,eastus
TestVirM123,TestVirM123,Microsoft.ClassicCompute/domainNames,TestVirM123,eastus
TestVirM123,TestVirM123,Microsoft.ClassicCompute/virtualMachines,TestVirM123,eastus
testazurewebapp098,testazurewebapp098,microsoft.insights/components,testwebrg,eastus
specializedVMNic,specializedVMNic,Microsoft.Network/networkInterfaces,vgdeploytest,eastus
specializedVMPublicIP,specializedVMPublicIP,Microsoft.Network/publicIPAddresses,vgdeploytest,eastus
specializedVMVNET,specializedVMVNET,Microsoft.Network/virtualNetworks,vgdeploytest,eastus
specializedVMNic,specializedVMNic,Microsoft.Network/networkInterfaces,VistaraGateway,westus
specializedVMPublicIP,specializedVMPublicIP,Microsoft.Network/publicIPAddresses,VistaraGateway,westus
specializedVMVNET,specializedVMVNET,Microsoft.Network/virtualNetworks,VistaraGateway,westus
specializedVMNic,specializedVMNic,Microsoft.Network/networkInterfaces,VistaraTest,westus
vmfrmdisk,vmfrmdisk,Microsoft.Network/networkInterfaces,VistaraTest,westus
specializedVMPublicIP,specializedVMPublicIP,Microsoft.Network/publicIPAddresses,VistaraTest,westus
vmfromosdisk,vmfromosdisk,Microsoft.Network/publicIPAddresses,VistaraTest,westus
specializedVMVNET,specializedVMVNET,Microsoft.Network/virtualNetworks,VistaraTest,westus
vistaragateway11,vistaragateway11,Microsoft.Storage/storageAccounts,VistaraTest,westus
NE-TFS,NE-TFS,microsoft.visualstudio/account,VS-NE-TFS-Group,brazilsouth
NE-TFS/NE-TFS,NE-TFS/NE-TFS,microsoft.visualstudio/account/project,VS-NE-TFS-Group,northcentralus
NEAssesmentBot,NEAssesmentBot,microsoft.visualstudio/account,VS-NEAssesmentBot-Group,westeurope
NEAssesmentBot/NE-Assesment-Bot,NEAssesmentBot/NE-Assesment-Bot,microsoft.visualstudio/account/project,VS-NEAssesmentBot-Group,northcentralus
netenrichtfs,netenrichtfs,microsoft.visualstudio/account,VS-netenrichtfs-Group,southcentralus
vsg1,vsg1,Microsoft.ClassicCompute/domainNames,vsg1,westus
VSGW,VSGW,Microsoft.ClassicCompute/virtualMachines,vsg1,westus
wordpressHA,wordpressHA,Microsoft.Compute/availabilitySets,wordpressrm,southeastasia
wordpress1vm,wordpress1vm,Microsoft.Compute/virtualMachines,wordpressrm,southeastasia
wordpressvm2,wordpressvm2,Microsoft.Compute/virtualMachines,wordpressrm,southeastasia
wordpresslb,wordpresslb,Microsoft.Network/loadBalancers,wordpressrm,southeastasia
wordpress1vm239,wordpress1vm239,Microsoft.Network/networkInterfaces,wordpressrm,southeastasia
wordpressvm2538,wordpressvm2538,Microsoft.Network/networkInterfaces,wordpressrm,southeastasia
wordpress1vm-nsg,wordpress1vm-nsg,Microsoft.Network/networkSecurityGroups,wordpressrm,southeastasia
wordpressvm2-nsg,wordpressvm2-nsg,Microsoft.Network/networkSecurityGroups,wordpressrm,southeastasia
wordpress1vm-ip,wordpress1vm-ip,Microsoft.Network/publicIPAddresses,wordpressrm,southeastasia
wordpressLBPIP,wordpressLBPIP,Microsoft.Network/publicIPAddresses,wordpressrm,southeastasia
wordpressvm2-ip,wordpressvm2-ip,Microsoft.Network/publicIPAddresses,wordpressrm,southeastasia
wordpress-vnet,wordpress-vnet,Microsoft.Network/virtualNetworks,wordpressrm,southeastasia
wordpressrmdiag650,wordpressrmdiag650,Microsoft.Storage/storageAccounts,wordpressrm,southeastasia
wordpressstg,wordpressstg,Microsoft.Storage/storageAccounts,wordpressrm,southeastasia
